"","DF8_VAR_ID","DF8_Variable","In_Structure","populated","In_Form","DF9_Table","DF9_Variable","DF9_Codes_Table","DF9_Comments","DF9_PROBLEM","DF10_Variable","DF10_Table","DF10_Removed","DF10_Aggregated","DF10_Renamed","DF10_New","DF10_Comments"
"1",1,"SITE",TRUE,TRUE,TRUE,"location","site","-1","-1",FALSE,"site","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"2",2,"SUBSITE",TRUE,TRUE,TRUE,"location","subsite","-1","-1",FALSE,"subsite","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"3",3,"UNIT",TRUE,TRUE,TRUE,"location","unit","-1","-1",FALSE,"unit","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"4",4,"NORTHING",TRUE,TRUE,TRUE,"location","northing","-1","-1",FALSE,"northing","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"5",5,"EASTING",TRUE,TRUE,TRUE,"location","easting","-1","-1",FALSE,"easting","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"6",6,"FLDWRK1",TRUE,TRUE,TRUE,"fieldWorkers","personelleCode","-1","-1",FALSE,"workFie1","-1",FALSE,FALSE,TRUE,FALSE,"-1"
"7",7,"FLDWRK2",TRUE,TRUE,TRUE,"fieldWorkers","personelleCode","-1","-1",FALSE,"workFie2","-1",FALSE,FALSE,TRUE,FALSE,"-1"
"8",8,"FLDWRK3",TRUE,TRUE,TRUE,"fieldWorkers","personelleCode","-1","-1",FALSE,"workFie3","-1",FALSE,FALSE,TRUE,FALSE,"-1"
"9",9,"FLDWRK4",TRUE,TRUE,TRUE,"fieldWorkers","personelleCode","-1","-1",FALSE,"workFie4","-1",FALSE,FALSE,TRUE,FALSE,"-1"
"10",10,"FLDWRK5",TRUE,TRUE,TRUE,"fieldWorkers","personelleCode","-1","-1",FALSE,"workFie5","-1",FALSE,FALSE,TRUE,FALSE,"-1"
"11",11,"COLLYEAR",TRUE,TRUE,TRUE,"admin","collectionYear","-1","-1",FALSE,"collectionYear","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"12",12,"COLLQURT",TRUE,TRUE,TRUE,"admin","collectionQuarter","-1","-1",FALSE,"collectionQuarter","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"13",13,"LSTBUILD",TRUE,TRUE,TRUE,"description","lastBuildPhase","-1","-1",TRUE,"-1","-1",TRUE,FALSE,FALSE,FALSE,"removed bc values are old and invalid"
"14",14,"BURIALS",TRUE,TRUE,TRUE,"description","burials","-1","-1",FALSE,"burials","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"15",15,"MIDDEN",TRUE,TRUE,TRUE,"description","midden","-1","-1",FALSE,"midden","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"16",16,"QNTSTONE",TRUE,TRUE,TRUE,"archMaterial","stoneQuant","Codes_stoneQuant","-1",FALSE,"stoneQuant","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"17",17,"DSTSTONE",TRUE,TRUE,TRUE,"archMaterial","stoneDist","Codes_stoneDist","-1",FALSE,"stoneDist","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"18",18,"CUTSTONE",TRUE,TRUE,TRUE,"archMaterial","stoneCut","Codes_materials","All values are zero (=0)",TRUE,"-1","-1",TRUE,FALSE,FALSE,FALSE,"removed bc no values in DF9"
"19",19,"LAJAS",TRUE,TRUE,TRUE,"archMaterial","lajas","Codes_materials","-1",FALSE,"lajas","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"20",20,"TEPETATE",TRUE,TRUE,TRUE,"archMaterial","tepetate","Codes_materials","-1",FALSE,"tepetate","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"21",21,"ADOBE",TRUE,TRUE,TRUE,"archMaterial","adobe","Codes_materials","-1",FALSE,"adobe","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"22",22,"XALNENE",TRUE,TRUE,TRUE,"archMaterial","xalnene","Codes_materials","-1",FALSE,"xalnene","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"23",23,"CASCAJO",TRUE,TRUE,TRUE,"archMaterial","cascajo","Codes_materials","-1",FALSE,"cascajo","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"24",24,"CONCRETE",TRUE,TRUE,TRUE,"archMaterial","concrete","Codes_materials","-1",FALSE,"concrete","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"25",25,"PLSTRUNP",TRUE,TRUE,TRUE,"archMaterial","plasterUnpaint","Codes_materials","-1",FALSE,"plasterUnpaint","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"26",26,"PLSTRPNT",TRUE,TRUE,TRUE,"archMaterial","plasterPaint","Codes_materials","-1",FALSE,"plasterPaint","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"27",27,"BURNCLAY",TRUE,TRUE,TRUE,"archMaterial","burntClay","Codes_materials","-1",FALSE,"burntClay","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"28",28,"ALMENA",TRUE,TRUE,TRUE,"archMaterial","almena","-1","-1",FALSE,"almena","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"29",29,"BRNDSTRC",TRUE,TRUE,TRUE,"archMaterial","burnedStruct","Codes_burnedStruct","-1",FALSE,"burnedStruct","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"30",30,"FLOORS",TRUE,TRUE,TRUE,"archMaterial","floors","Codes_archFeatures","-1",FALSE,"floors","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"31",31,"WALLS",TRUE,TRUE,TRUE,"archMaterial","walls","Codes_archFeatures","-1",FALSE,"walls","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"32",32,"DRAINS",TRUE,TRUE,TRUE,"archMaterial","drains","Codes_archFeatures","-1",FALSE,"drainSitu","-1",FALSE,FALSE,TRUE,FALSE,"-1"
"33",33,"WALLFIXT",TRUE,TRUE,TRUE,"archMaterial","wallFixtures","Codes_archFeatures","-1",FALSE,"wallFixSitu","-1",FALSE,FALSE,TRUE,FALSE,"-1"
"34",34,"MURALS",TRUE,TRUE,TRUE,"archMaterial","murals","Codes_archFeatures","-1",FALSE,"murals","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"35",35,"COLUMNS",TRUE,TRUE,TRUE,"archMaterial","columns","Codes_archFeatures","-1",FALSE,"columns","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"36",36,"TALUDES",TRUE,TRUE,TRUE,"archMaterial","taludes","Codes_archFeatures","-1",FALSE,"taludes","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"37",37,"TABLEROS",TRUE,TRUE,TRUE,"archMaterial","tableros","Codes_archFeatures","-1",FALSE,"tableros","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"38",38,"SITUFLRS",TRUE,TRUE,TRUE,"archMaterial","floorMaterial","Codes_FloorMat","-1",FALSE,"floorMaterial","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"39",39,"TALUDSTN",TRUE,TRUE,TRUE,"archMaterial","wallCoreStone","Codes_wallCoreStone","-1",FALSE,"wallCoreStone","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"40",40,"WALLMATR",TRUE,TRUE,TRUE,"archMaterial","wallCoreOthMat","Codes_wallCoreOther","-1",FALSE,"wallCoreOthMat","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"41",41,"WALLFACE",TRUE,TRUE,TRUE,"archMaterial","wallFacing","Codes_wallFacing","-1",FALSE,"wallFacing","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"42",42,"INTRUSHD",TRUE,TRUE,TRUE,"description","intrusiveSherd","-1","-1",FALSE,"intrusiveSherd","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"43",43,"HEIGHT",TRUE,TRUE,TRUE,"description","height","-1","-1",FALSE,"height","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"44",44,"PMICARC1",TRUE,TRUE,TRUE,"archInterp","arch1PMic","Codes_ArchInterpPrim","-1",FALSE,"arch1PMic","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"45",45,"MCTLARC1",TRUE,TRUE,TRUE,"archInterp","arch1McTl","Codes_ArchInterpPrim","-1",FALSE,"arch1McTl","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"46",46,"XLMEARC1",TRUE,TRUE,TRUE,"archInterp","arch1XlMe","Codes_ArchInterpPrim","-1",FALSE,"arch1XlMe","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"47",47,"OXTOARC1",TRUE,TRUE,TRUE,"archInterp","arch1Oxto","Codes_ArchInterpPrim","-1",FALSE,"arch1Oxto","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"48",48,"PMICARC2",TRUE,TRUE,TRUE,"archInterp","arch2PMic","Codes_ArchInterpAltern","-1",FALSE,"arch2PMic","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"49",49,"MCTLARC2",TRUE,TRUE,TRUE,"archInterp","arch2McTl","Codes_ArchInterpAltern","-1",FALSE,"arch2McTl","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"50",50,"XLMEARC2",TRUE,TRUE,TRUE,"archInterp","arch2XlMe","Codes_ArchInterpAltern","-1",FALSE,"arch2XlMe","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"51",51,"OXTOARC2",TRUE,TRUE,TRUE,"archInterp","arch2Oxto","Codes_ArchInterpAltern","-1",FALSE,"arch2Oxto","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"52",52,"QUALCNST",TRUE,TRUE,TRUE,"archInterp","constructQual","Codes_ConstructQual","-1",FALSE,"constructQual","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"53",53,"PMICFNC1",TRUE,TRUE,TRUE,"archInterp","func1PMic","Codes_FuncInterpPrim","-1",FALSE,"func1PMic","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"54",54,"MCTLFNC1",TRUE,TRUE,TRUE,"archInterp","func1McTl","Codes_FuncInterpPrim","-1",FALSE,"func1McTl","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"55",55,"XLMEFNC1",TRUE,TRUE,TRUE,"archInterp","func1XlMe","Codes_FuncInterpPrim","-1",FALSE,"func1XlMe","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"56",56,"OXTOFNC1",TRUE,TRUE,TRUE,"archInterp","func1Oxto","Codes_FuncInterpPrim","-1",FALSE,"func1Oxto","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"57",57,"PMICFNC2",TRUE,TRUE,TRUE,"archInterp","func2PMic","Codes_FuncInterpAltern","-1",FALSE,"func2PMic","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"58",58,"MCTLFNC2",TRUE,TRUE,TRUE,"archInterp","func2McTl","Codes_FuncInterpAltern","-1",FALSE,"func2McTl","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"59",59,"XLMEFNC2",TRUE,TRUE,TRUE,"archInterp","func2XlMe","Codes_FuncInterpAltern","-1",FALSE,"func2XlMe","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"60",60,"OXTOFNC2",TRUE,TRUE,TRUE,"archInterp","func2Oxto","Codes_FuncInterpAltern","-1",FALSE,"func2Oxto","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"61",61,"PTTZCX1",TRUE,TRUE,TRUE,"complex","archInt1PaTz","Codes_complexGenPrim","-1",FALSE,"archInt1PaTz","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"62",62,"MCTLCX1",TRUE,TRUE,TRUE,"complex","archInt1McTl","Codes_complexGenPrim","-1",FALSE,"archInt1McTl","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"63",63,"XLMECX1",TRUE,TRUE,TRUE,"complex","archInt1XlMt","Codes_complexGenPrim","-1",FALSE,"archInt1XlMt","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"64",64,"PTTZCX2",TRUE,TRUE,TRUE,"complex","archInt2PaTz","Codes_complexGenAltern","-1",FALSE,"archInt2PaTz","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"65",65,"MCTLCX2",TRUE,TRUE,TRUE,"complex","archInt2McTl","Codes_complexGenAltern","-1",FALSE,"archInt2McTl","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"66",66,"XLMECX2",TRUE,TRUE,TRUE,"complex","archInt2XlMt","Codes_complexGenAltern","-1",FALSE,"archInt2XlMt","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"67",67,"PTTZCXFN",TRUE,TRUE,TRUE,"complex","funcIntPaTz","Codes_complexFunWhole","-1",FALSE,"funcIntPaTz","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"68",68,"MCTLCXFN",TRUE,TRUE,TRUE,"complex","funcIntMcTl","Codes_complexFunWhole","-1",FALSE,"funcIntMcTl","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"69",69,"XLMECXFN",TRUE,TRUE,TRUE,"complex","funcIntXlMt","Codes_complexFunWhole","-1",FALSE,"funcIntXlMt","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"70",70,"PTTZRSFN",TRUE,TRUE,TRUE,"complex","funcResPaTz","Codes_complexFunRes","-1",FALSE,"funcResPaTz","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"71",71,"MCTLRSFN",TRUE,TRUE,TRUE,"complex","funcResMcTl","Codes_complexFunRes","-1",FALSE,"funcResMcTl","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"72",72,"XLMERSFN",TRUE,TRUE,TRUE,"complex","funcResXlMt","Codes_complexFunRes","-1",FALSE,"funcResXlMt","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"73",73,"PTTZTMFN",TRUE,TRUE,TRUE,"complex","funcTmpPaTz","Codes_complexFunTemp","-1",FALSE,"funcTmpPaTz","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"74",74,"MCTLTMFN",TRUE,TRUE,TRUE,"complex","funcTmpMcTl","Codes_complexFunTemp","-1",FALSE,"funcTmpMcTl","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"75",75,"XLMETMFN",TRUE,TRUE,TRUE,"complex","funcTmpXlMt","Codes_complexFunTemp","-1",FALSE,"funcTmpXlMt","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"76",76,"PTTZCVFN",TRUE,TRUE,TRUE,"complex","funcCivPaTz","Codes_complexFunCivic","-1",FALSE,"funcCivPaTz","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"77",77,"MCTLCVFN",TRUE,TRUE,TRUE,"complex","funcCivMcTl","Codes_complexFunCivic","-1",FALSE,"funcCivMcTl","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"78",78,"XLMECVFN",TRUE,TRUE,TRUE,"complex","funcCivXlMt","Codes_complexFunCivic","-1",FALSE,"funcCivXlMt","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"79",79,"XLMEOTFN",TRUE,TRUE,TRUE,"complex","funcOthXlMt","Codes_complexFunOther","-1",FALSE,"funcOthXlMt","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"80",80,"CXUNITN",TRUE,TRUE,TRUE,"complex","complexUnit","-1","-1",FALSE,"-1","-1",TRUE,FALSE,FALSE,FALSE,"removed because this was duplicate information repeating the site unit (i.e. N12S3) of that collection unit"
"81",81,"CXUNIT",TRUE,TRUE,TRUE,"complex","complexNum","-1","-1",FALSE,"complexNum","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"82",82,"MCXUNITN",TRUE,TRUE,TRUE,"complexMacro","macroComplexNum","-1","-1",FALSE,"macroComplexNum","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"83",83,"MCXUNIT",TRUE,TRUE,TRUE,"complexMacro","macroComplexUnit","-1","-1",FALSE,"-1","-1",TRUE,FALSE,FALSE,FALSE,"removed because this was duplicate information repeating the site unit (i.e. N12S3) of that collection unit"
"84",84,"PTTZMCX",TRUE,TRUE,TRUE,"complexMacro","presPaTz","Codes_McomplexGen","-1",FALSE,"presPaTz","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"85",85,"MCTLMCX",TRUE,TRUE,TRUE,"complexMacro","presMcTl","Codes_McomplexGen","-1",FALSE,"presMcTl","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"86",86,"XLMEMCX",TRUE,TRUE,TRUE,"complexMacro","presXlMt","Codes_McomplexGen","-1",FALSE,"presXlMt","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"87",87,"PTTZMXFN",TRUE,TRUE,TRUE,"complexMacro","funcIntPaTz","Codes_McomplexFun","-1",FALSE,"MfuncIntPaTz","-1",FALSE,FALSE,TRUE,FALSE,"-1"
"88",88,"TLXLMXFN",TRUE,TRUE,TRUE,"complexMacro","funcIntMcTl","Codes_McomplexFun","-1",FALSE,"MfuncIntMcTl","-1",FALSE,FALSE,TRUE,FALSE,"-1"
"89",89,"XLMEMXFN",TRUE,TRUE,TRUE,"complexMacro","funcIntXlMt","Codes_McomplexFun","-1",FALSE,"MfuncIntXlMt","-1",FALSE,FALSE,TRUE,FALSE,"-1"
"90",90,"NHOODCHR",TRUE,TRUE,TRUE,"archinterp","neighborhoodChar","-1","-1",FALSE,"neighborhoodChar","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"91",91,"FRSTNDWL",TRUE,TRUE,TRUE,"archMaterial","freeStandWall","Codes_otherArchFeatures","-1",FALSE,"freeStandWall","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"92",92,"WELLS",TRUE,TRUE,TRUE,"archMaterial","wells","Codes_otherArchFeatures","-1",FALSE,"wells","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"93",93,"JAGUEYS",TRUE,TRUE,TRUE,"archMaterial","jagueys","Codes_otherArchFeatures","-1",FALSE,"jagueys","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"94",94,"PUESTOS",TRUE,TRUE,TRUE,"archMaterial","puestos","Codes_otherArchFeatures","-1",FALSE,"puestos","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"95",95,"MILPA",TRUE,TRUE,TRUE,"condition","milpa","Codes_vegetation","-1",FALSE,"milpa","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"96",96,"BARLEY",TRUE,TRUE,TRUE,"condition","barley","Codes_vegetation","-1",FALSE,"barley","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"97",97,"BEANS",TRUE,TRUE,TRUE,"condition","beans","Codes_vegetation","-1",FALSE,"beans","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"98",98,"CUTALFAL",TRUE,TRUE,TRUE,"condition","alfalfaCut","Codes_vegetation","-1",FALSE,"alfalfaCut","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"99",99,"UNCALFAL",TRUE,TRUE,TRUE,"condition","alfalfaUncut","Codes_vegetation","-1",FALSE,"alfalfaUncut","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"100",100,"NOPALES",TRUE,TRUE,TRUE,"condition","nopales","Codes_vegetation","-1",FALSE,"nopales","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"101",101,"MAGUEYS",TRUE,TRUE,TRUE,"condition","magueys","Codes_vegetation","-1",FALSE,"magueys","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"102",102,"FALLOWLD",TRUE,TRUE,TRUE,"condition","fallow","Codes_vegetation","-1",FALSE,"fallow","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"103",103,"UNCULTIV",TRUE,TRUE,TRUE,"condition","uncultivate","Codes_vegetation","-1",FALSE,"uncultivate","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"104",104,"CROPWATR",TRUE,TRUE,TRUE,"condition","cropWater","Codes_water","-1",FALSE,"cropWater","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"105",105,"PLOWING",TRUE,TRUE,TRUE,"condition","plowing","Codes_plowing","-1",FALSE,"plowing","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"106",106,"CULTPITS",TRUE,TRUE,TRUE,"condition","pitCultivate","Codes_altering_features","-1",FALSE,"pitCultivate","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"107",107,"LOOTPITS",TRUE,TRUE,TRUE,"condition","pitLoot","Codes_altering_features","-1",FALSE,"pitLoot","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"108",108,"ARCHEXCV",TRUE,TRUE,TRUE,"condition","archaeoExcRest","Codes_altering_features","-1",FALSE,"archaeoExcRest","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"109",109,"MISCPITS",TRUE,TRUE,TRUE,"condition","pitMisc","Codes_altering_features","-1",FALSE,"pitMisc","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"110",110,"QRRYING",TRUE,TRUE,TRUE,"condition","quarrying","Codes_altering_features","-1",FALSE,"quarrying","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"111",111,"CLRSTONE",TRUE,TRUE,TRUE,"condition","stoneClearing","Codes_altering_features","-1",FALSE,"stoneClearing","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"112",112,"LDLVLING",TRUE,TRUE,TRUE,"condition","landLeveling","Codes_altering_features","-1",FALSE,"landLeveling","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"113",113,"TERRACNG",TRUE,TRUE,TRUE,"condition","terracing","Codes_altering_features","-1",FALSE,"terracing","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"114",114,"DITCHING",TRUE,TRUE,TRUE,"condition","ditching","Codes_altering_features","-1",FALSE,"ditching","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"115",115,"ROADORRR",TRUE,TRUE,TRUE,"condition","roadOrRail","Codes_altering_features","-1",FALSE,"roadOrRail","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"116",116,"RCNTWALL",TRUE,TRUE,TRUE,"condition","recentWall","Codes_altering_features","-1",FALSE,"recentWall","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"117",117,"STONERWS",TRUE,TRUE,TRUE,"condition","stoneRows","Codes_altering_features","-1",FALSE,"stoneRows","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"118",118,"RCNTBLDG",TRUE,TRUE,TRUE,"condition","recentBuild","Codes_altering_features","-1",FALSE,"recentBuild","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"119",119,"DAM",TRUE,TRUE,TRUE,"condition","dam","Codes_altering_features","-1",FALSE,"dam","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"120",120,"JAGUEY",TRUE,TRUE,TRUE,"condition","jaguey","Codes_altering_features","-1",FALSE,"jaguey","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"121",121,"EROSION",TRUE,TRUE,TRUE,"condition","erosion","Codes_altering_features","-1",FALSE,"erosion","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"122",122,"SILTING",TRUE,TRUE,TRUE,"condition","silting","Codes_altering_features","-1",FALSE,"silting","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"123",123,"OBSCSITE",TRUE,TRUE,TRUE,"condition","siteAlteration","Codes_overall_condition","-1",FALSE,"siteAlteration","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"124",124,"SLOPE",TRUE,TRUE,TRUE,"description","slope","-1","-1",FALSE,"slope","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"125",125,"GSWKSHOP",TRUE,TRUE,TRUE,"workshop","groundstoneField","Codes_workshopField","-1",FALSE,"groundstoneField","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"126",126,"OBWKSHOP",TRUE,TRUE,TRUE,"workshop","obsidianField","Codes_workshopField","-1",FALSE,"obsidianField","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"127",127,"MANOS",TRUE,TRUE,TRUE,"lithicGround","manos","-1","-1",FALSE,"manos","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"128",128,"METATES",TRUE,TRUE,TRUE,"lithicGround","metates","-1","-1",FALSE,"metates","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"129",129,"MORTARS",TRUE,TRUE,TRUE,"lithicGround","mortars","-1","-1",FALSE,"mortars","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"130",130,"PESTLES",TRUE,TRUE,TRUE,"lithicGround","pestles","-1","-1",FALSE,"pestles","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"131",131,"PSMOOTHR",TRUE,TRUE,TRUE,"lithicGround","plasterSmoothers","-1","-1",FALSE,"plasterSmoothers","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"132",132,"PLUMBBOB",TRUE,TRUE,TRUE,"lithicGround","plumbBobs","-1","-1",FALSE,"plumbBobs","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"133",133,"FIXTWALL",TRUE,TRUE,TRUE,"lithicGround","wallFixtures","-1","-1",FALSE,"wallFixSurf","-1",FALSE,FALSE,TRUE,FALSE,"-1"
"134",134,"FIREGODS",TRUE,TRUE,TRUE,"lithicGround","fireGods","-1","-1",FALSE,"fireGods","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"135",135,"MSCSTNSC",TRUE,TRUE,TRUE,"lithicGround","sculptureFrags","-1","-1",FALSE,"sculptureFrags","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"136",136,"HAMMERS",TRUE,TRUE,TRUE,"lithicGround","hammerStones","-1","-1",FALSE,"hammerStones","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"137",137,"SLINGSTN",TRUE,TRUE,TRUE,"lithicGround","slingStones","-1","-1",FALSE,"slingStones","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"138",138,"SMTHSTN",TRUE,TRUE,TRUE,"lithicGround","smoothStones","-1","-1",FALSE,"smoothStones","-1",FALSE,FALSE,FALSE,FALSE,"-1"
